Indicadors geogràfics. Altitud i coordenades UTM
Municipis. 2013
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=4700&geo=mun&t=201300&lang=es
Codi,Nom,Altitud (metres),Coordenades UTM (metres). UTMx,Coordenades UTM (metres). UTMy
080327,Caldes d'Estrac,33,460711,4602364
170335,Caldes de Malavella,84,484275,4631975
080333,Caldes de Montbui,203,430658,4609352
080351,Calella,5,472014,4607306
080370,Calldetenes,489,440762,4641960
080386,Callús,260,399056,4626531
080364,Calonge de Segarra,688,374830,4622247
170340,Calonge i Sant Antoni,22,506350,4634500
250621,Camarasa,321,323975,4638200
439039,Camarles,13,303575,4516250
430385,Cambrils,24,336550,4548950
170353,Camós,168,480601,4660550
170366,Campdevànol,738,431450,4675200
170372,Campelles,1303,429200,4683100
080399,Campins,321,455505,4619535
170388,Campllong,113,486050,4638200
170391,Camprodon,947,447800,4685025
250637,Canejan,906,315275,4745550
170405,Canet d'Adri,217,478350,4653850
080403,Canet de Mar,15,465216,4604473
439076,"Canonja, la",50,347197,4554273
080410,Canovelles,175,440400,4607850
080425,Cànoves i Samalús,346,446250,4616200
170412,Cantallops,200,493925,4696900
080431,Canyelles,142,393085,4571539
430398,Capafonts,751,334925,4573650
430402,Capçanes,223,313775,4552450
080446,Capellades,317,390437,4598659
170427,Capmany,107,493525,4691525
080459,Capolat,1279,396972,4659415
080462,Cardedeu,193,446656,4610070
080478,Cardona,507,390750,4641250
080484,Carme,351,385024,4598891
430419,Caseres,324,269050,4546950
170448,Cassà de la Selva,137,489825,4637475
080497,Casserres,611,404229,4652102
170486,"Castell d'Aro, Platja d'Aro i s'Agaró",5,505665,4629715
080575,Castell de l'Areny,954,413032,4669710
259046,Castell de Mur,532,324550,4662400
250642,Castellar de la Ribera,657,368925,4653650
080522,Castellar de n'Hug,1395,418993,4681900
080500,Castellar del Riu,920,393385,4665355
080517,Castellar del Vallès,331,424014,4607721
080538,Castellbell i el Vilar,178,405175,4609461
080543,Castellbisbal,132,415031,4592180
080556,Castellcir,773,429325,4623700
250674,Castelldans,353,313625,4596700
080569,Castelldefels,3,414300,4570300
080581,Castellet i la Gornal,137,382150,4568150
170464,Castellfollit de la Roca,296,462925,4674450
080608,Castellfollit de Riubregós,467,370305,4626295
080594,Castellfollit del Boix,700,390600,4613712
080615,Castellgalí,266,403455,4614485
080620,Castellnou de Bages,469,403508,4632297
250680,Castellnou de Seana,269,331100,4612875
170470,Castelló d'Empúries,17,506175,4678800
250693,Castelló de Farfanya,358,311400,4632400
080636,Castellolí,415,391782,4606199
250707,Castellserà,267,332800,4623800
080641,Castellterçol,726,426919,4622741
430424,Castellvell del Camp,219,340475,4560750
080654,Castellví de la Marca,198,384500,4576100
080667,Castellví de Rosanes,178,408157,4589478
430430,"Catllar, el",59,359675,4559750
250714,Cava,1335,383455,4687075
171899,"Cellera de Ter, la",166,468650,4646700
170499,Celrà,71,490050,4652750
080673,Centelles,496,435338,4627812
082687,Cercs,650,405975,4666828
082665,Cerdanyola del Vallès,82,428114,4593734
080689,Cervelló,122,412874,4583451
250729,Cervera,548,356250,4614750
250735,Cervià de les Garrigues,444,321325,4588375
170502,Cervià de Ter,45,492700,4657450
170519,Cistella,130,487575,4679800
250740,Ciutadilla,519,345025,4602900
250753,Clariana de Cardener,500,386200,4643475
250766,"Cogul, el",279,307150,4593350
170545,Colera,10,512491,4694836
250772,Coll de Nargó,573,361025,4670650
080692,Collbató,388,402475,4602781
430458,Colldejou,431,322700,4552125
080706,Collsuspina,901,431577,4630980
170558,Colomers,41,499025,4659350
251636,"Coma i la Pedra, la",1004,383625,4670475
251615,Conca de Dalt,507,332775,4679100
430461,Conesa,705,357550,4597850
430477,Constantí,81,350125,4557550
080713,Copons,432,376679,4610671
430483,Corbera d'Ebre,337,288050,4550550
080728,Corbera de Llobregat,342,410700,4585600
250788,Corbins,211,308300,4618225
170577,Corçà,43,501500,4648650
080734,Cornellà de Llobregat,27,422763,4579550
170561,Cornellà del Terri,96,484925,4659950
430496,Cornudella de Montsant,533,324600,4570500
430509,Creixell,48,369325,4558750
170583,Crespià,138,483500,4670850
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",110,499400,4645150
080749,Cubelles,12,388810,4562912
250791,Cubells,499,330650,4635550
430516,Cunit,10,385625,4561850
170600,Darnius,193,486375,4690775
170617,Das,1219,407050,4690750
439018,Deltebre,6,307700,4510350
080752,Dosrius,147,450684,4605238
430537,Duesaigües,268,326400,4557200
170622,"Escala, l'",14,511150,4663875
080765,Esparreguera,187,405802,4599324
170638,Espinelves,752,451725,4635575
250812,"Espluga Calba, l'",434,333550,4595825
430542,"Espluga de Francolí, l'",411,341450,4584650
080771,Esplugues de Llobregat,110,423562,4580967
170643,Espolla,124,500150,4693425
170656,Esponellà,142,483250,4669775
250827,Espot,1318,343100,4715800
080787,"Espunyola, l'",803,398300,4656575
082541,"Esquirol, l'",693,447802,4654116
250886,Estamariu,1084,378475,4692500
080790,"Estany, l'",870,426388,4635859
250851,Estaràs,596,365150,4617050
250864,Esterri d'Àneu,957,346200,4721450
250870,Esterri de Cardós,1212,357500,4717200
430555,Falset,364,317175,4557350
170059,"Far d'Empordà, el",44,499700,4677925
250899,Farrera,1294,358225,4707425
430568,"Fatarella, la",487,288150,4560025
430574,"Febró, la",754,332970,4571687
081347,Figaró-Montmany,330,439708,4619262
080804,Fígols,1154,404030,4670732
259084,Fígols i Alinyà,602,363100,4673825
430580,"Figuera, la",576,309900,4565400
170669,Figueres,39,496900,4679450
430593,Figuerola del Camp,474,355025,4581700
170675,Flaçà,34,496325,4655375
430607,Flix,47,294750,4567450
250925,"Floresta, la",316,326500,4597650
080826,Fogars de la Selva,45,472753,4620649
080811,Fogars de Montclús,386,453800,4619800
170681,Foixà,85,499825,4654575
080832,Folgueroles,552,443181,4643663
250931,Fondarella,243,322975,4611600
080847,Fonollosa,525,389429,4624516
170694,Fontanals de Cerdanya,1180,409507,4693300
170708,Fontanilles,29,508950,4651100
170715,Fontcoberta,207,482750,4665850
080850,Font-rubí,319,387350,4585750
250946,Foradada,455,335200,4638250
179026,Forallac,51,504675,4645500
430614,Forès,866,353050,4595325
170736,Fornells de la Selva,102,484500,4642700
170741,Fortià,8,503300,4676975
080863,"Franqueses del Vallès, les",181,441500,4607750
430629,Freginals,126,290500,4505425
250962,"Fuliola, la",275,335225,4620075
250978,Fulleda,581,335100,4592250
080902,Gaià,481,410984,4641271
430635,"Galera, la",112,285650,4506700
080879,Gallifa,502,426401,4616205
430640,Gandesa,363,284850,4548050
430653,Garcia,73,302875,4556800
430666,"Garidells, els",132,353175,4563450
080885,"Garriga, la",252,440600,4615159
170754,Garrigàs,101,496275,4671425
170767,Garrigoles,92,502700,4661950
170773,Garriguella,56,504750,4688100
080898,Gavà,9,416614,4573330
250984,Gavet de la Conca,421,328200,4665750
080919,Gelida,196,405124,4588534
170789,Ger,1135,405025,4696275
259123,Gimenells i el Pla de la Font,258,282750,4614625
430672,Ginestar,26,301200,4546300
170792,Girona,70,485175,4648075
080924,Gironella,469,407600,4654367
080930,Gisclareny,1340,399985,4678455
430688,Godall,168,286125,4503750
250997,Golmés,275,327750,4611425
170806,Gombrèn,919,425100,4677900
251001,Gósol,1423,389650,4677100
080945,"Granada, la",272,392992,4581654
251018,"Granadella, la",528,304800,4581025
080958,Granera,782,421775,4620300
251023,"Granja d'Escarp, la",78,278850,4588850
080961,Granollers,145,440600,4606575
251039,Granyanella,508,352545,4614335
251057,Granyena de les Garrigues,366,303700,4589700
251044,Granyena de Segarra,636,353975,4609700
430691,Gratallops,321,313675,4562775
080977,Gualba,177,458693,4620290
170813,Gualta,15,508675,4653150
080996,Guardiola de Berguedà,720,407633,4676434
430705,"Guiamets, els",226,311400,4552700
170828,Guils de Cerdanya,1385,407875,4700400
251095,Guimerà,555,348800,4603225
259031,"Guingueta d'Àneu, la",919,346850,4717550
251109,Guissona,484,357900,4627550
251116,Guixers,840,389900,4665500
081000,Gurb,516,436500,4645350
430712,Horta de Sant Joan,542,274150,4537400
081017,"Hospitalet de Llobregat, l'",8,424992,4579383
081629,"Hostalets de Pierola, els",361,397550,4598950
170834,Hostalric,189,469875,4621816
081022,Igualada,313,384825,4604075
251155,Isona i Conca Dellà,659,338600,4664950
170849,Isòvol,1088,404475,4694775
251137,Ivars d'Urgell,265,332500,4616575
251121,Ivars de Noguera,314,299750,4636150
251142,Ivorra,567,366750,4625850
170852,Jafre,44,500975,4658100
170865,"Jonquera, la",110,489750,4696375
081038,Jorba,380,379088,4606786
259101,Josa i Tuixén,1206,381875,4676600
170871,Juià,94,492400,4651900
251180,Juncosa,575,314050,4582500
251193,Juneda,264,318700,4602675
251214,Les,634,313025,4742500
251229,Linyola,248,325750,4619950
081043,"Llacuna, la",615,377616,4592444
170887,Lladó,197,484700,4677500
251235,Lladorre,1052,356575,4720350
251240,Lladurs,834,376500,4656025
081056,"Llagosta, la",45,432644,4596296
170890,Llagostera,160,491150,4630800
170904,Llambilles,143,488425,4641225
170911,Llanars,983,446050,4685825
170926,Llançà,4,512550,4690500
251253,Llardecans,397,295200,4583400
251266,Llavorsí,811,353025,4706575
251207,Lleida,155,302200,4610300
170932,Llers,142,492850,4682775
251272,Lles de Cerdanya,1471,392025,4694150
081075,Lliçà d'Amunt,145,436699,4607061
081081,Lliçà de Vall,125,436920,4604922
251288,Llimiana,790,327750,4660400
081069,Llinars del Vallès,198,450207,4610046
170947,Llívia,1224,416250,4702050
430727,"Lloar, el",219,311425,4562050
251291,Llobera,855,373525,4645650
430733,Llorac,648,358925,4602125
430748,Llorenç del Penedès,162,378850,4571500
170950,Lloret de Mar,5,487500,4616750
170963,"Llosses, les",1000,427150,4667025
081094,Lluçà,745,423425,4657955
171024,Maçanet de Cabrenys,370,479575,4692950
171030,Maçanet de la Selva,100,477850,4625325
170979,Madremanya,177,496575,4648900
170985,Maià de Montcal,241,478950,4674700
251333,Maials,395,291350,4582375
251305,Maldà,428,336500,4601975
081108,Malgrat de Mar,4,478580,4610460
081115,Malla,580,436597,4637722
081120,Manlleu,461,440663,4650218
081136,Manresa,238,402462,4620400
430764,Marçà,315,315625,4555350
430751,Margalef,379,312025,4572975
082423,Marganell,291,399511,4610793
081141,Martorell,56,410800,4592100
081154,Martorelles,96,436368,4597779
430770,Mas de Barberans,348,278175,4512750
171002,Masarac,85,497825,4688950
430786,Masdenverge,54,291550,4510350
081167,"Masies de Roda, les",468,443550,4649150
081173,"Masies de Voltregà, les",533,436750,4652750
430799,Masllorenç,304,367300,4570050
081189,"Masnou, el",27,443053,4592454
430803,"Masó, la",115,351150,4566550
430810,Maspujols,214,336250,4561050
081192,Masquefa,257,400977,4595333
430825,"Masroig, el",192,309750,4555450
251312,Massalcoreig,94,279550,4593300
171019,Massanes,164,471125,4624050
251327,Massoteres,502,359750,4628850
081206,Matadepera,423,418907,4606055
081213,Mataró,28,453731,4599067
081228,Mediona,430,384150,4592950
251348,Menàrguens,205,312475,4622475
170998,Meranges,1539,400375,4700200
171058,Mieres,286,470300,4663950
430831,"Milà, el",166,349900,4568050
251351,Miralcamp,287,323450,4608250
430846,Miravet,43,298150,4545975
081385,Moià,717,425084,4629464
430859,"Molar, el",228,307650,4559675
081234,Molins de Rei,37,417974,4585246
251370,Mollerussa,250,324750,4611025
171061,Mollet de Peralada,59,500100,4689950
081249,Mollet del Vallès,65,434371,4598932
171077,Molló,1182,451075,4688750
251364,"Molsosa, la",667,378854,4626947
081287,Monistrol de Calders,447,418182,4623839
081271,Monistrol de Montserrat,161,403791,4607362
171096,Montagut i Oix,276,466800,4675600
430862,Montblanc,350,346450,4582250
430884,Montbrió del Camp,132,332500,4554225
081252,Montcada i Reixac,36,432200,4593150
081304,Montclar,728,397757,4652754
251399,Montellà i Martinet,967,392650,4690850
081311,Montesquiu,577,434739,4662421
251403,Montferrer i Castellbò,732,370600,4689050
430897,Montferri,229,363200,4569700
251386,Montgai,286,330750,4629775
081265,Montgat,20,440050,4591300
081326,Montmajor,756,395344,4652688
081332,Montmaneu,709,368145,4609598
430901,"Montmell, el",429,370625,4575150
081350,Montmeló,72,437449,4600603
251425,Montoliu de Lleida,166,299100,4603900
251410,Montoliu de Segarra,689,355835,4605915
251431,Montornès de Segarra,605,352650,4607200
081363,Montornès del Vallès,116,438849,4599497
430918,Mont-ral,888,340800,4572600
171100,Mont-ras,88,511950,4639550
430923,Mont-roig del Camp,120,328700,4550675
081379,Montseny,528,449881,4623321
430939,Móra d'Ebre,38,302025,4551800
430944,Móra la Nova,31,302725,4552550
430957,"Morell, el",104,349881,4561834
430960,"Morera de Montsant, la",743,319325,4570650
081290,Muntanyola,807,431939,4636821
081398,Mura,454,414906,4617128
251459,Nalec,487,342925,4602825
250254,Naut Aran,1267,328250,4730650
081402,Navarcles,269,408972,4622906
081419,Navàs,370,407121,4639604
171117,Navata,145,488600,4674800
251462,Navès,610,387400,4649875
081424,"Nou de Berguedà, la",876,408000,4669000
430976,"Nou de Gaià, la",93,363800,4560600
430982,Nulles,231,357300,4568025
251484,Odèn,1130,366795,4666075
081430,Òdena,421,386831,4607143
171122,Ogassa,951,440500,4679750
081458,Olèrdola,189,393120,4575252
081461,Olesa de Bonesvalls,265,403848,4578822
081477,Olesa de Montserrat,124,407801,4599851
251497,Oliana,469,360550,4658950
251500,Oliola,452,348625,4637800
251517,Olius,742,380503,4648360
081483,Olivella,211,400563,4574040
081496,Olost,572,425188,4648800
171143,Olot,443,457825,4670325
251522,"Oluges, les",528,360350,4617725
081445,Olvan,553,409500,4656866
251538,"Omellons, els",385,329850,4596675
251543,"Omells de na Gaia, els",560,339500,4596300
171156,Ordis,98,492450,4674225
251556,Organyà,558,362100,4674750
081509,Orís,576,437150,4656725
081516,Oristà,468,422228,4642955
