Indicadors geogràfics. Altitud i coordenades UTM
Municipis. 2013
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=4700&geo=mun&t=201300&lang=es
Codi,Nom,Altitud (metres),Coordenades UTM (metres). UTMx,Coordenades UTM (metres). UTMy
171595,Sant Feliu de Buixalleu,402,465727,4626891
082107,Sant Feliu de Codines,480,430522,4615738
171609,Sant Feliu de Guíxols,4,502475,4625875
082114,Sant Feliu de Llobregat,25,420345,4581802
171616,Sant Feliu de Pallerols,473,459375,4658500
082129,Sant Feliu Sasserra,617,419024,4644359
171621,Sant Ferriol,148,476507,4672025
082093,Sant Fost de Campsentelles,112,436197,4596795
082135,Sant Fruitós de Bages,247,406417,4622955
171637,Sant Gregori,112,479897,4648946
251924,Sant Guim de Freixenet,738,368600,4612950
251977,Sant Guim de la Plana,556,360825,4625025
171642,Sant Hilari Sacalm,803,459575,4636500
082153,Sant Hipòlit de Voltregà,536,436853,4651989
081939,Sant Iscle de Vallalta,129,464208,4608195
439023,Sant Jaume d'Enveja,7,307300,4508800
082166,Sant Jaume de Frontanyà,1072,419560,4671208
171655,Sant Jaume de Llierca,203,467675,4673650
431378,Sant Jaume dels Domenys,213,379475,4573225
171674,Sant Joan de les Abadesses,773,441150,4676250
171680,Sant Joan de Mollet,54,495300,4655025
082188,Sant Joan de Vilatorrada,277,400750,4622250
082172,Sant Joan Despí,10,421214,4580050
171851,Sant Joan les Fonts,342,459875,4673750
171668,Sant Jordi Desvalls,57,496250,4657900
089030,Sant Julià de Cerdanyola,954,408729,4675427
171693,Sant Julià de Ramis,128,488961,4655260
082205,Sant Julià de Vilatorta,600,444082,4641639
179032,Sant Julià del Llor i Bonmatí,160,472744,4646502
082212,Sant Just Desvern,122,422930,4581611
082227,Sant Llorenç d'Hortons,196,401927,4591567
171714,Sant Llorenç de la Muga,173,482750,4685575
251930,Sant Llorenç de Morunys,925,383625,4666125
082233,Sant Llorenç Savall,466,421783,4614671
082251,Sant Martí d'Albars,629,423450,4653500
082248,Sant Martí de Centelles,404,437800,4624000
171729,Sant Martí de Llémena,256,470950,4654050
259025,Sant Martí de Riucorb,409,337900,4602950
082264,Sant Martí de Tous,465,376981,4602194
082270,Sant Martí Sarroca,291,383954,4582667
082286,Sant Martí Sesgueioles,646,374379,4617923
171735,Sant Martí Vell,65,494350,4652200
082299,Sant Mateu de Bages,569,394799,4628191
171740,Sant Miquel de Campmajor,217,473550,4665100
171753,Sant Miquel de Fluvià,28,499400,4669450
171766,Sant Mori,51,499350,4667100
171772,Sant Pau de Segúries,867,447775,4679250
082310,Sant Pere de Ribes,44,397269,4568755
082325,Sant Pere de Riudebitlles,246,391624,4590086
082331,Sant Pere de Torelló,621,441800,4658599
082346,Sant Pere de Vilamajor,305,449240,4615034
171788,Sant Pere Pescador,5,506850,4670850
081897,Sant Pere Sallavinera,588,381548,4621690
082359,Sant Pol de Mar,15,468695,4605801
082362,Sant Quintí de Mediona,326,388506,4591181
082378,Sant Quirze de Besora,587,435709,4661439
082384,Sant Quirze del Vallès,188,423430,4598522
082397,Sant Quirze Safaja,627,429672,4620170
251945,Sant Ramon,641,363825,4620825
082401,Sant Sadurní d'Anoia,162,398760,4586764
082418,Sant Sadurní d'Osormort,531,448783,4639269
080983,Sant Salvador de Guardiola,334,397425,4615175
082628,Sant Vicenç de Castellet,176,405472,4613719
082649,Sant Vicenç de Montalt,143,459034,4603300
082652,Sant Vicenç de Torelló,555,440006,4657369
082634,Sant Vicenç dels Horts,22,417306,4583100
431384,Santa Bàrbara,79,288650,4510350
082439,Santa Cecília de Voltregà,519,435679,4649476
082444,Santa Coloma de Cervelló,73,417700,4580250
171805,Santa Coloma de Farners,142,472125,4634800
082457,Santa Coloma de Gramenet,56,434120,4589437
431397,Santa Coloma de Queralt,674,365225,4599325
171812,Santa Cristina d'Aro,30,500274,4629563
082460,Santa Eugènia de Berga,538,440633,4639166
082476,Santa Eulàlia de Riuprimer,568,432802,4640405
082482,Santa Eulàlia de Ronçana,242,435480,4612052
082495,Santa Fe del Penedès,240,393123,4582488
171827,Santa Llogaia d'Àlguema,42,496150,4675875
082508,Santa Margarida de Montbui,316,384050,4603600
082515,Santa Margarida i els Monjos,161,388258,4575485
082589,Santa Maria d'Oló,542,420134,4636422
082536,Santa Maria de Besora,866,438739,4664428
082567,Santa Maria de Martorelles,181,437850,4596900
082554,Santa Maria de Merlès,532,415448,4650478
082573,Santa Maria de Miralles,543,377150,4597500
082592,Santa Maria de Palautordera,208,453882,4616100
431401,Santa Oliva,101,378675,4568125
171848,Santa Pau,496,464650,4666075
082606,Santa Perpètua de Mogoda,74,431765,4598746
082613,Santa Susanna,10,475682,4609493
081923,Santpedor,336,403642,4626664
431423,Sarral,467,353750,4589800
171864,Sarrià de Ter,70,485600,4651800
252017,Sarroca de Bellera,1002,325600,4692100
252000,Sarroca de Lleida,201,296450,4592800
171870,"Saus, Camallera i Llampaies",86,497100,4663650
431439,Savallà del Comtat,825,358300,4600675
431444,"Secuita, la",169,355900,4563050
171886,"Selva de Mar, la",48,515500,4686025
431457,"Selva del Camp, la",246,344050,4564500
431460,Senan,652,340375,4592900
430445,"Sénia, la",369,270200,4501975
252022,Senterada,729,330150,4688075
250352,"Sentiu de Sió, la",281,323900,4630450
082671,Sentmenat,207,428098,4606753
171903,Serinyà,188,478995,4668780
252043,Seròs,103,283850,4593650
171910,Serra de Daró,15,506100,4653050
171925,Setcases,1265,442575,4691850
252038,"Seu d'Urgell, la",691,373400,4690800
082690,Seva,663,440658,4632318
252056,Sidamon,232,319500,4611100
171931,Sils,76,478800,4628650
082704,Sitges,10,400439,4565891
170524,Siurana,33,499600,4673175
082711,Sobremunt,881,431004,4654299
252069,"Soleràs, el",381,306350,4587450
431476,Solivella,489,347950,4591150
252075,Solsona,664,377500,4650575
082726,Sora,716,430638,4662824
252081,Soriguera,1258,348737,4693789
252094,Sort,692,346225,4697350
252108,Soses,118,290425,4601200
082732,Subirats,243,399500,4582150
252115,Sudanell,152,297200,4603600
252120,Sunyer,211,299225,4599800
082747,Súria,326,396477,4632272
171946,Susqueda,816,462575,4651650
082763,Tagamanent,354,439200,4621200
082779,Talamanca,552,415128,4621261
252154,Talarn,572,326675,4672750
252167,Talavera,791,361550,4604950
171959,"Tallada d'Empordà, la",20,504625,4658825
082785,Taradell,623,440892,4636009
431482,Tarragona,68,353250,4553350
252173,Tàrrega,373,345250,4612600
252189,Tarrés,578,334650,4587800
252192,Tarroja de Segarra,460,356700,4621550
082750,Tavèrnoles,537,444285,4644847
082802,Tavertet,869,451932,4649650
082819,Teià,128,443587,4594332
252206,Térmens,208,313800,4621050
171962,Terrades,228,486825,4684425
082798,Terrassa,277,417894,4602110
082824,Tiana,136,439035,4592900
252213,Tírvia,991,355750,4708675
252228,Tiurana,387,355504,4648785
431495,Tivenys,13,290575,4531675
431508,Tivissa,309,309550,4546075
082830,Tona,596,436018,4633478
252234,Torà,448,367500,4630300
082845,Tordera,34,476693,4616603
082858,Torelló,508,439191,4655576
252249,"Torms, els",476,309500,4585200
252252,Tornabous,289,338225,4618650
252271,"Torre de Cabdella, la",1075,334100,4698800
082861,"Torre de Claramunt, la",363,388279,4599054
431515,"Torre de Fontaubella, la",369,320825,4554950
431520,"Torre de l'Espanyol, la",164,300975,4562950
252265,Torrebesses,287,299050,4589075
431536,Torredembarra,15,365700,4556225
252287,Torrefarrera,214,300900,4616450
259078,Torrefeta i Florejacs,475,356600,4624100
252304,Torregrossa,232,319100,4605600
252311,Torrelameu,201,308900,4619750
082877,Torrelavit,202,393922,4589433
082883,Torrelles de Foix,367,380499,4583031
082896,Torrelles de Llobregat,126,414858,4579102
171978,Torrent,44,510600,4644525
252326,Torres de Segre,119,292750,4601275
252332,Torre-serona,197,302875,4616300
171984,Torroella de Fluvià,9,503450,4669350
171997,Torroella de Montgrí,31,510540,4654560
431541,Torroja del Priorat,332,316625,4564900
172001,Tortellà,276,469575,4675975
431554,Tortosa,12,291100,4520925
172018,Toses,1444,418975,4686150
172023,Tossa de Mar,5,494350,4618750
252347,Tremp,468,326225,4670650
172044,Ullà,21,509025,4655625
082900,Ullastrell,342,412972,4597970
172057,Ullastret,49,505775,4650025
431567,Ulldecona,133,284025,4497350
431573,Ulldemolins,650,322375,4576850
172039,Ultramort,30,502950,4654050
172060,Urús,1263,405550,4689550
082917,Vacarisses,382,409913,4606935
170144,"Vajol, la",546,483575,4694800
172076,"Vall d'en Bas, la",510,455385,4663215
172082,"Vall de Bianya, la",367,454900,4673550
250432,"Vall de Boí, la",1111,319400,4708450
259010,Vall de Cardós,898,354450,4714100
082922,Vallbona d'Anoia,289,392275,4597381
252385,Vallbona de les Monges,481,340700,4599025
082938,Vallcebre,1123,402550,4673275
431589,Vallclara,625,331350,4582800
252402,Vallfogona de Balaguer,235,318400,4624750
171707,Vallfogona de Ripollès,956,442500,4672050
431592,Vallfogona de Riucorb,573,353025,4602975
082943,Vallgorguina,222,459417,4610933
082956,Vallirana,177,410718,4582355
172095,Vall-llobrega,49,510550,4636800
431606,Vallmoll,161,353350,4567450
082969,Vallromanes,153,441793,4598257
431613,Valls,215,353625,4572250
259062,"Valls d'Aguilar, les",669,363400,4683950
252398,"Valls de Valira, les",740,373175,4693625
431628,Vandellòs i l'Hospitalet de l'Infant,281,317725,4543400
259097,"Vansa i Fórnols, la",989,374850,4677025
082975,Veciana,564,374222,4612930
431634,"Vendrell, el",49,377300,4564575
172109,Ventalló,28,502316,4666566
252424,Verdú,434,345400,4608450
172116,Verges,23,503950,4656850
431649,Vespella de Gaià,102,362798,4561949
082981,Vic,484,438306,4642404
172121,Vidrà,982,443100,4663850
172137,Vidreres,93,481675,4626625
252430,Vielha e Mijaran,974,319500,4730325
431652,Vilabella,254,360200,4567775
172142,Vilabertran,19,498550,4681400
172155,Vilablareix,114,481287,4645206
082994,Vilada,757,411811,4665747
172174,Viladamat,13,506300,4664800
172168,Viladasens,96,494350,4660550
083015,Viladecans,18,418026,4574555
083008,Viladecavalls,274,412922,4601192
172180,Vilademuls,120,490900,4665375
172207,Viladrau,821,449450,4633250
172214,Vilafant,54,494950,4677400
083054,Vilafranca del Penedès,223,391354,4578122
252445,Vilagrassa,355,342350,4612675
172235,Vilajuïga,31,507850,4686200
431750,Vilalba dels Arcs,450,282650,4555550
083067,Vilalba Sasserra,200,453550,4611500
252458,Vilaller,981,312450,4705400
172240,Vilallonga de Ter,1067,443400,4686975
431665,Vilallonga del Camp,124,349689,4563977
172253,Vilamacolum,5,504675,4671650
172266,Vilamalla,45,497625,4674150
172272,Vilamaniscle,169,505675,4691675
252477,Vilamòs,1255,314025,4735500
172288,Vilanant,98,490950,4678300
431671,Vilanova d'Escornalbou,226,326875,4553525
252483,Vilanova de Bellpuig,290,330450,4609100
252496,Vilanova de l'Aguda,409,355200,4641600
252542,Vilanova de la Barca,195,310975,4617975
252509,Vilanova de Meià,633,336300,4651250
431687,Vilanova de Prades,893,329225,4579625
083036,Vilanova de Sau,558,449104,4644292
252516,Vilanova de Segrià,255,301975,4620750
083020,Vilanova del Camí,302,386449,4603302
089024,Vilanova del Vallès,91,440500,4600650
083073,Vilanova i la Geltrú,22,393250,4564500
431690,Vilaplana,366,335250,4566100
431704,Vila-rodona,259,362675,4574775
172305,Vila-sacra,16,501550,4679450
252521,Vila-sana,249,327675,4614575
431711,Vila-seca,45,344400,4552850
082140,Vilassar de Dalt,142,446648,4596553
082191,Vilassar de Mar,10,449323,4595034
172229,Vilaür,65,496450,4665875
431726,Vilaverd,269,347600,4577725
431732,"Vilella Alta, la",327,314050,4566350
431747,"Vilella Baixa, la",218,312550,4565875
172333,Vilobí d'Onyar,122,478700,4637600
083041,Vilobí del Penedès,286,388178,4582965
172327,Vilopriu,82,499550,4661700
252537,"Vilosell, el",665,328450,4583600
431763,Vimbodí i Poblet,496,337100,4585250
252555,Vinaixa,479,330900,4588500
431779,Vinebre,34,297900,4562200
431785,Vinyols i els Arcs,95,335450,4553500
083089,Viver i Serrateix,729,398590,4644618
430521,Xerta,12,288750,4531750

